epochs,loss,valid_loss
1,9.194070335441095,7.887048008697008
2,4.656923646911088,4.000584861749602
3,1.5790904478888186,0.7364374062050768
4,-0.1817274158201028,-0.3152618294067541
5,-1.2758174243195175,-1.5126621704877294
6,-2.0638787539972583,-2.0202891764783093
7,-2.1846541261798915,-1.9779762219960288
8,-2.5559508571087792,-2.520601911986308
9,-2.6870498943852716,-2.7560259551984707
10,-3.2266761350788276,-3.45244818740953
11,-3.3534049401846744,-4.045604939383674
12,-4.205233687748454,-3.7559291764110436
13,-4.160959833824251,-4.253248395224646
14,-4.3179593351212455,-3.7930273369188505
15,-4.043942479926265,-3.6817677382454597
16,-4.228451255101706,-4.097275116599719
17,-4.181555448741897,-4.100379275986328
18,-4.508980778514719,-3.7602461898041937
19,-4.40664462975214,-4.663434952714026
20,-4.6469935009953165,-4.882614917523747
21,-4.392867010088114,-4.702018400910212
22,-4.9037080610269035,-5.001610694493935
23,-4.772279417643428,-4.4744604440235305
24,-4.901555964949554,-4.859087476049225
25,-5.097439185906615,-4.987280648678451
26,-4.722589440682959,-4.6909544696045185
27,-4.964017495320561,-5.37704577251326
28,-5.2403934677495085,-5.410106916938807
29,-5.324711504997701,-5.491076831644388
30,-5.386300972388955,-4.903772165721314
31,-5.227586488771431,-5.543879437570669
32,-5.2351387436222545,-5.638430843862203
33,-5.86662610144304,-5.477120867473997
34,-5.742121740414973,-4.666927908867526
35,-5.594403859227808,-5.404141785782692
36,-5.37100193215042,-5.860592622559754
37,-5.845708496716192,-5.051247666291422
38,-5.746661665827709,-5.974234643451557
39,-5.840442563373283,-5.936921446873444
40,-5.6723398276097265,-5.673870114617105
41,-5.620103566194312,-6.335675328059554
42,-5.958018179461793,-6.19564466785405
43,-6.059275850348084,-5.815987872741945
44,-5.632905759564312,-5.552546245958667
